Rank,Model,Accuracy,Std
1,Neural Network+LDA (with product),0.5611111111111111,0.12095300587265133
2,KNN+LDA (with product),0.5444444444444445,0.10333930687632374
3,Neural Network+LDA (without product),0.538888888888889,0.08888888888888889
4,Logistic Regression+LDA (without product),0.538888888888889,0.08534606386520678
5,Logistic Regression+LDA (with product),0.538888888888889,0.12247448713915889
6,LDA (with product),0.5277777777777779,0.10971343143406388
7,Random Forest+LDA (without product),0.5222222222222223,0.07737993487324513
8,LDA (without product),0.5166666666666666,0.05983516452371673
9,KNN+LDA (without product),0.5166666666666666,0.05983516452371673
10,SVM+LDA (without product),0.5055555555555555,0.04779069592801462
11,SVM+LDA (with product),0.49444444444444446,0.06431020501550126
12,Random Forest+LDA (with product),0.49444444444444446,0.07737993487324513
